,FIPS,candidatevotes,totalvotes,Lat,Long_
561,16081,2167.0,4976,43.75303583,-111.2056773
562,16083,19828.0,29874,42.35440512,-114.6685381
563,16085,2906.0,5349,44.76728382,-115.5676773
564,16087,3283.0,4455,44.45275475,-116.7847688
565,17001,22790.0,31951,39.98815591,-91.18786813
566,17003,1496.0,2846,37.18049267,-89.32910838
567,17005,4888.0,7530,38.88829622,-89.43534887
568,17007,12282.0,23001,42.32359279,-88.82345779
569,17009,1796.0,2379,39.96209138,-90.75068024
570,17011,9281.0,16571,41.40385234,-89.5283051
571,17013,1721.0,2571,39.16840183,-90.66330078
572,17015,4434.0,7445,42.06823429,-89.93395545
573,17017,3216.0,5124,39.96991073,-90.24734436
574,17019,33368.0,91628,40.13919438,-88.20046615
575,17021,10543.0,15459,39.54581621,-89.27780482
576,17023,5622.0,7928,39.33425789,-87.78705622
577,17025,5021.0,6350,38.75388572,-88.48914513
578,17027,12412.0,17419,38.60704876,-89.42385254
579,17029,13003.0,21863,39.51949084,-88.22358557
580,17031,453287.0,2158615,41.84144849,-87.81658794
581,17033,6277.0,8728,39.0032229,-87.75954624
582,17035,4206.0,5567,39.27432424,-88.2401158
583,17037,19091.0,43600,41.89373302,-88.76958483
584,17039,5077.0,7543,40.17514519,-88.90959682
585,17041,5698.0,8169,39.76768052,-88.21854195
586,17043,166415.0,428769,41.85116968,-88.08642662
587,17045,5645.0,7873,39.6809186,-87.74759563
588,17047,2778.0,3347,38.41353228,-88.05720863
589,17049,13635.0,17609,39.05935711,-88.58969584
590,17051,7372.0,9585,39.00072038,-89.02452658
591,17053,4480.0,6396,40.59706922,-88.22350769
592,17055,13116.0,18711,37.99189086,-88.92567818
593,17057,8492.0,15797,40.47289135,-90.20862357
594,17059,1942.0,2707,37.76430935,-88.22953869
595,17061,4145.0,5585,39.35907414,-90.388865
596,17063,13454.0,23237,41.28569601,-88.41905692
597,17065,3206.0,4166,38.08163641,-88.53883373
598,17067,6430.0,9121,40.40423981,-91.16313899
599,17069,1653.0,2148,37.51810645,-88.26873022
600,17071,2155.0,3518,40.81908672,-90.92491462
601,17073,13985.0,24643,41.3533994,-90.13296166
602,17075,9750.0,13064,40.74717633,-87.82466784
603,17077,10843.0,24617,37.78595185,-89.38232563
604,17079,3975.0,5136,39.01054275,-88.15437049
605,17081,11695.0,16999,38.29980057,-88.9240025
606,17083,7748.0,10991,39.08869046,-90.35393073
607,17085,6121.0,11334,42.36542373,-90.21094405
608,17087,4649.0,6089,37.45939802,-88.88165419
609,17089,82734.0,199314,41.93842729,-88.42861412
610,17091,25129.0,47305,41.13746989,-87.86205334
611,17093,24961.0,53447,41.59081014,-88.42869583
612,17095,10737.0,22243,40.93148779,-90.21330340000002
613,17097,109767.0,303520,42.3224907,-88.00367925
614,17099,26689.0,49743,41.34426129999999,-88.88633881
615,17101,4521.0,6094,38.71987914,-87.72884035
616,17103,8612.0,15489,41.74583951,-89.29977132
617,17105,10208.0,15269,40.89188292,-88.55784752
618,17107,8181.0,12401,40.12581572,-89.36638784
619,17109,6795.0,13092,40.45674722,-90.67775541
620,17111,71612.0,141750,42.32451172,-88.45248227
621,17113,37237.0,79835,40.48996987,-88.84621113
622,17115,26866.0,48060,39.86064913,-88.96342505
623,17117,14322.0,22360,39.26119767,-89.92424028
624,17119,70490.0,130179,38.83042506,-89.90422563
625,17121,11859.0,17074,38.64963204,-88.91899208
626,17123,3785.0,5984,41.0327901,-89.34510444
627,17125,4058.0,6486,40.23917274,-89.91824452
628,17127,4846.0,6683,37.22078441,-88.71036614
629,17129,4231.0,6515,40.02742725,-89.80246001
630,17131,4807.0,8525,41.20596782,-90.74290052
631,17133,12629.0,19354,38.27594376,-90.17761038
632,17135,8630.0,12978,39.23198845,-89.47809254
633,17137,9076.0,14800,39.71654544,-90.20255104
634,17139,4455.0,6283,39.64187451,-88.62099969
635,17141,14352.0,24193,42.04165196,-89.32184679
636,17143,35633.0,78503,40.78702156,-89.76078901
637,17145,6855.0,9853,38.08510853,-89.36856219
638,17147,5634.0,9008,40.01360584,-88.59319339
639,17149,5754.0,7530,39.62265059,-90.8877017
640,17151,1678.0,2142,37.41391284,-88.56152109
641,17153,1675.0,2735,37.22631423,-89.13085001
642,17155,1767.0,3111,41.2013541,-89.2869272
643,17157,10023.0,14194,38.05095369,-89.82512254
644,17159,5739.0,7684,38.71240969,-88.08475366
645,17161,26998.0,63994,41.46613806,-90.57042164
646,17163,53857.0,120580,38.46996033,-89.93063427
647,17165,8276.0,11384,37.75332999,-88.54119706
648,17167,49944.0,98373,39.75836914,-89.65872023
649,17169,2524.0,3828,40.1571798,-90.61114163
650,17171,1966.0,2608,39.6429169,-90.47814431
651,17173,8229.0,11010,39.39133527,-88.80611122
652,17175,1778.0,2743,41.09309773,-89.79745866
653,17177,11083.0,20343,42.35129217,-89.662598
654,17179,38707.0,64400,40.50716185,-89.51404662
655,17181,5790.0,8537,37.47119609,-89.25548938
656,17183,19087.0,30570,40.18417171,-87.73384359
657,17185,4047.0,5464,38.44272901,-87.84922065
658,17187,4275.0,7807,40.84925021,-90.6147432
659,17189,5571.0,7427,38.35309213,-89.40982703
660,17191,6967.0,8261,38.42955355,-88.42586459
661,17193,5640.0,7335,38.08706198,-88.17657461
662,17195,12615.0,25582,41.75509713,-89.91556058
663,17197,132720.0,300904,41.44619267,-87.97862712
664,17199,21570.0,31852,37.73033511,-88.92994027
665,17201,55624.0,118376,42.33641854,-89.16085327
666,17203,13207.0,19864,40.78579374,-89.20973757
667,18001,9648.0,13090,40.7457653,-84.93671406
668,18003,83930.0,147137,41.09194313,-85.06800636
669,18005,20640.0,32490,39.20744865,-85.89558181
670,18007,2579.0,3666,40.60626947,-87.31093999
671,18009,3350.0,4839,40.47388153,-85.32499702
672,18011,19654.0,32178,40.0509304,-86.46841646
673,18013,5016.0,7945,39.19605589,-86.22868909
674,18015,6273.0,8643,40.580783200000006,-86.56198812
675,18017,9701.0,14209,40.76135835,-86.34830753
676,18019,30035.0,51147,38.48015445,-85.70510334
677,18021,8531.0,11282,39.39561833,-87.11723506
678,18023,8531.0,11936,40.30319754,-86.47277257
679,18025,3015.0,4593,38.28814402,-86.44518825
680,18027,8545.0,10768,38.70186039,-87.07185406
681,18029,18113.0,23987,39.14647946,-84.97333539
682,18031,8490.0,11127,39.30712658,-85.50087166
683,18033,12054.0,16902,41.39804622,-84.99906934
684,18035,24263.0,45123,40.22787247,-85.39732772
685,18037,13365.0,19984,38.36597551,-86.87924170000002
686,18039,41867.0,65630,41.59761169,-85.85875695
687,18041,6839.0,9530,39.63684962,-85.17797541
688,18043,21432.0,37425,38.32117957,-85.90385377
689,18045,5662.0,7492,40.12361933,-87.24217689
690,18047,8669.0,11013,39.4142482,-85.06062647
691,18049,6010.0,8374,41.0469907,-86.26252745
692,18051,11081.0,15484,38.30393723,-87.58054938
693,18053,17008.0,25312,40.51587228,-85.65468702
694,18055,10277.0,13801,39.03630547,-86.96223202
695,18057,87404.0,154256,40.07306535,-86.05244729
696,18059,25074.0,36181,39.82304555,-85.77566351
697,18061,12943.0,18558,38.19467379,-86.10948271
698,18063,48337.0,75559,39.76719009,-86.51037283
699,18065,13895.0,20155,39.93029017,-85.39625719
700,18067,23675.0,36843,40.48527731,-86.11351892
701,18069,11649.0,16043,40.82907273,-85.48822092
702,18071,12859.0,17573,38.90915820000001,-86.03851889
703,18073,9382.0,13378,41.02078733,-87.11553319
704,18075,5697.0,7986,40.43781032,-85.00576229
705,18077,8546.0,13544,38.78576239,-85.43633383
706,18079,8224.0,11150,38.99588883,-85.62710784
707,18081,45456.0,66500,39.48994426,-86.10149107
708,18083,11077.0,15516,38.68861576,-87.4194665
709,18085,23935.0,32084,41.24521668,-85.86312322
710,18087,7025.0,9566,41.64232188,-85.42674232
711,18089,75625.0,201205,41.41874274,-87.38277575
712,18091,22687.0,45203,41.54366008,-86.74072188
713,18093,14035.0,19152,38.84112637,-86.48361629
714,18095,32376.0,53909,40.16143691,-85.71964711
715,18097,130360.0,362372,39.78163624,-86.13826325
716,18099,12288.0,18082,41.32467367,-86.26185087
717,18101,3697.0,4809,38.7099921,-86.80373186
718,18103,9975.0,13482,40.76940965,-86.04525048
719,18105,20592.0,58454,39.16130004,-86.52414358
720,18107,11059.0,15156,40.04034823,-86.89335024
721,18109,23674.0,31280,39.47899078,-86.44573375
722,18111,4077.0,5795,40.95610449,-87.39635768
723,18113,12198.0,16890,41.39672484,-85.41966713
724,18115,2118.0,2921,38.955305,-84.96515993
725,18117,5803.0,8192,38.54118920000001,-86.49523093
726,18119,6153.0,8557,39.31145587,-86.83900724
727,18121,4863.0,6582,39.77202286,-87.20375833
728,18123,4556.0,8055,38.07809328,-86.63741946
729,18125,4398.0,5977,38.40112197,-87.23574907
730,18127,38832.0,77190,41.45986947,-87.06848888
731,18129,8404.0,12467,38.02097333,-87.86480429
732,18131,3854.0,5459,41.04166107,-86.69890683
733,18133,10637.0,14715,39.66437981,-86.84517605
734,18135,7517.0,10458,40.15734772,-85.01139319
735,18137,9806.0,12810,39.10235626,-85.26212744
736,18139,5292.0,7214,39.62002287,-85.4655599
737,18141,52021.0,110060,41.61756781,-86.29040834
738,18143,6074.0,9101,38.68672078,-85.74627859
739,18145,12718.0,17994,39.52305623,-85.79158570000001
740,18147,6572.0,9979,38.01519732,-87.0079644
741,18149,6367.0,9226,41.27890281,-86.64686895
742,18151,10133.0,14566,41.64423868,-85.00101094
743,18153,6138.0,8559,39.08952258,-87.41414469
744,18155,2558.0,3699,38.82767338,-85.03022429
745,18157,30768.0,62515,40.38872739,-86.89413959
746,18159,5589.0,7510,40.31123252,-86.05234925
747,18161,2445.0,3291,39.62550777,-84.92497066
748,18163,40496.0,72507,38.02658833,-87.58763124
749,18165,4513.0,6939,39.8523352,-87.46160542
750,18167,21937.0,39818,39.42944561,-87.39169027
751,18169,9821.0,13468,40.84704239,-85.79328272
752,18171,2898.0,3930,40.34728141,-87.35602659
753,18173,19113.0,29589,38.08922676,-87.2716085
754,18175,8209.0,11382,38.60219804,-86.1049363
755,18177,16028.0,25579,39.8633444,-85.01044989
756,18179,10005.0,13185,40.72934187,-85.22132966
757,18181,6893.0,10053,40.74911165,-86.86492015
758,18183,11358.0,15623,41.13863784,-85.50791236
759,19001,2461.0,3811,41.33075609,-94.47105874
760,19003,1395.0,2106,41.02903567,-94.69932645
761,19005,4093.0,6923,43.28383218,-91.37860922
762,19007,4033.0,6136,40.74324454,-92.86865906
763,19009,2136.0,3412,41.6844628,-94.90581859
764,19011,8232.0,13844,42.08011739,-92.06463573
765,19013,27476.0,64405,42.4704581,-92.30524729
766,19015,7484.0,14196,42.03657094,-93.9313999
767,19017,7208.0,13538,42.77461496,-92.31795937
768,19019,5510.0,10252,42.4709188,-91.83510825
769,19021,4903.0,8278,42.73545875,-95.15100162
770,19023,4921.0,7513,42.73172833,-92.79015971
771,19025,3468.0,5159,42.38521079,-94.64046046
772,19027,6638.0,10544,42.03617207,-94.86032705
773,19029,4761.0,7125,41.33149454,-94.92792482
774,19031,5295.0,9541,41.77233777,-91.13246684
775,19033,11621.0,22965,43.08177563,-93.2612239
776,19035,4192.0,6258,42.73538914,-95.62389402
777,19037,3742.0,6435,43.06001295,-92.31773347
778,19039,2713.0,4454,41.02868181,-93.78499767
779,19041,5877.0,8617,43.08247182,-95.15096481
780,19043,5317.0,9129,42.84443388,-91.34133693
781,19045,11276.0,23067,41.89981633,-90.53275096
782,19047,4617.0,6935,42.03718237,-95.3819718
783,19049,19339.0,38252,41.68560356,-94.04127625
784,19051,2723.0,3882,40.74773536,-92.41005468
785,19053,2296.0,3734,40.73742757,-93.78645949
